ID 7.3.5.2 2.56.1.2 3.1.8.1 3.1.8.3 1.27.1.1 1.27.1.2 3.42.1.1 1.45.1.2 1.4.1.1 2.9.1.2 1.4.1.2 2.9.1.3 1.4.1.3 2.44.1.2 2.9.1.4 3.42.1.5 3.2.1.2 3.42.1.8 3.2.1.3 3.2.1.4 3.2.1.5 3.2.1.6 2.28.1.1 3.3.1.2 3.2.1.7 2.28.1.3 3.3.1.5 7.3.10.1 3.32.1.11 3.32.1.13 7.3.6.1 7.3.6.2 7.3.6.4 2.38.4.1 2.1.1.1 2.1.1.2 3.32.1.1 2.38.4.3 2.1.1.3 2.1.1.4 2.38.4.5 2.1.1.5 7.39.1.2 2.52.1.2 7.39.1.3 1.36.1.2 3.32.1.8 1.36.1.5 7.41.5.1 7.41.5.2 1.41.1.2 2.5.1.1 2.5.1.3 1.41.1.5
d1ew6a_ 4 2 2 2 4 2 4 2 2 2 4 2 2 4 4 2 4 2 2 2 2 2 4 4 2 2 2 2 2 2 4 4 4 2 2 2 2 2 2 2 4 4 2 4 2 2 2 4 4 4 2 2 4 2
d1phna_ 2 2 2 4 4 2 2 2 2 2 2 2 2 4 4 2 2 2 4 2 2 2 2 2 2 4 2 4 2 4 2 4 4 2 2 2 2 2 4 2 4 2 2 2 4 2 2 2 2 4 2 2 2 2
d1alla_ 2 4 2 2 2 4 2 2 4 2 2 2 2 4 2 2 2 4 2 2 2 2 4 2 2 2 4 4 2 2 2 4 2 2 2 4 2 2 2 2 2 2 2 4 4 2 2 4 2 4 2 4 2 2
d1qgwc_ 4 4 2 4 4 4 2 4 2 4 2 2 2 4 2 2 4 4 2 4 2 2 4 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 4 2 4 4 4 2 2 4 2
d1grj_1 4 4 4 2 2 2 2 2 2 4 2 4 2 4 2 4 2 2 2 2 2 2 4 2 2 4 2 4 2 2 2 4 2 2 4 2 2 2 2 2 4 2 2 2 4 2 2 4 4 4 2 4 2 2
d1hdj__ 2 4 2 2 4 2 2 2 2 4 2 2 4 4 2 2 2 2 2 2 2 2 4 4 4 2 2 4 2 2 2 4 2 2 4 2 2 2 2 4 4 4 2 2 2 2 2 4 4 2 2 4 2 4
d1xbl__ 2 4 2 4 2 2 2 2 2 2 2 2 2 4 4 2 4 2 2 4 2 2 4 4 2 2 2 4 2 2 2 4 4 2 4 2 2 2 2 4 4 4 2 4 4 2 2 4 4 4 2 2 2 2
d1du2a_ 2 2 4 2 2 2 4 2 2 2 2 2 4 4 2 2 2 2 2 2 4 2 4 2 2 2 2 4 2 2 2 4 2 2 2 2 2 4 2 2 2 2 2 2 4 2 2 4 2 4 2 2 2 4
d1cxzb_ 2 2 2 4 4 2 2 2 2 4 2 2 2 4 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 4 4 2 2 2 2 4 2 4 2 2 4 2 4 2 2 4 4 4 2 2 2 4
d1seta1 4 4 2 4 4 4 2 2 2 2 2 4 4 4 2 2 2 2 2 2 2 2 2 4 2 2 2 4 2 2 2 4 2 2 4 4 2 4 2 2 2 4 2 4 2 2 2 2 2 2 2 4 2 4
d1eiya1 2 2 2 2 2 2 2 4 4 4 4 2 4 4 4 2 4 2 2 2 2 2 4 4 2 4 4 4 4 4 4 4 4 2 2 4 2 2 2 2 2 2 4 4 4 2 2 4 4 4 2 4 4 4
d1a36a1 4 2 2 4 4 2 2 2 4 2 2 2 2 4 2 2 4 2 2 4 2 2 2 2 2 2 4 4 4 4 2 4 2 2 4 2 2 4 2 2 4 2 4 4 4 2 2 2 2 4 4 2 2 4
d1aqt_1 2 2 2 4 4 2 4 2 4 4 2 2 2 4 4 2 2 2 4 4 2 2 2 4 2 4 2 2 2 2 4 4 2 2 4 2 2 2 2 2 4 2 2 2 2 4 2 4 2 4 2 2 4 2
d1bsha1 2 4 4 4 2 4 2 4 2 4 2 2 2 4 2 2 4 2 2 4 2 2 4 2 4 2 4 4 4 2 4 4 2 2 4 2 4 4 2 2 2 2 2 4 2 2 2 4 4 2 2 2 4 4
d1bsna1 4 4 2 2 2 4 2 2 4 2 4 2 2 4 4 4 4 2 2 2 2 4 2 2 2 2 4 4 2 2 2 2 2 2 2 4 4 4 2 2 2 2 2 4 4 2 2 2 2 4 2 2 2 4
d1isaa1 2 4 2 2 4 4 4 2 4 4 2 2 2 4 4 2 2 2 2 2 2 2 4 2 2 2 4 4 2 2 2 4 2 2 2 2 2 2 2 4 2 2 2 2 2 4 4 2 2 2 2 2 2 2
d1coja1 4 4 2 2 2 2 2 2 2 2 4 2 2 4 2 2 4 2 2 2 2 2 4 2 2 2 2 4 2 2 2 2 2 4 2 2 4 4 2 2 2 2 2 2 4 2 4 4 4 4 2 2 4 4
d1b06a1 2 4 2 2 2 4 2 2 4 2 2 4 2 4 4 2 2 2 2 2 2 2 4 4 2 2 2 4 4 4 2 2 2 2 2 2 2 4 4 4 4 2 2 2 2 2 2 4 4 4 2 2 4 2
d1ap6a1 4 2 4 4 2 4 2 2 2 4 2 2 2 4 4 2 2 2 4 2 2 2 2 4 2 2 2 4 2 2 2 2 2 2 4 2 4 2 2 2 2 2 2 2 2 2 2 4 2 2 2 4 2 2
d1d5na1 4 4 2 4 4 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 4 2 4 2 2 2 2 2 2 4 2 2 2 4 4 2 4 2 2 2 2 2 4 4 2 2 2 4 4
d1mnga1 4 2 2 2 2 4 2 2 4 2 2 2 2 4 2 4 2 2 2 2 2 2 4 4 2 2 2 4 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 4 2 2 2 2 4 4 2 4 2 2
d1bsma1 2 4 4 2 4 4 2 2 4 2 2 2 2 4 2 2 2 2 2 4 2 2 2 2 2 2 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 2 4 2 2 2 2 4 2 4 2 4
d1qnna1 2 2 2 4 4 2 2 2 4 4 2 4 2 4 2 2 2 2 2 2 2 4 2 4 2 4 4 4 2 4 2 4 2 2 2 2 2 2 2 4 4 2 2 2 2 2 2 4 4 2 2 2 2 4
d1c75a_ 2 2 2 2 2 2 2 2 4 4 4 2 2 4 2 2 2 2 2 2 2 4 4 2 2 2 2 4 2 2 4 4 2 4 4 2 2 2 2 2 2 2 2 4 2 2 4 4 2 2 2 2 2 4
d1ctj__ 4 4 2 4 2 2 2 2 4 2 2 2 2 2 4 4 2 2 2 2 2 2 4 2 2 2 4 4 2 2 4 4 4 2 2 2 2 2 2 4 2 4 4 2 2 2 2 4 4 4 2 2 2 4
d1c53__ 2 2 2 2 2 4 2 2 4 2 2 4 2 4 4 2 2 2 4 2 4 2 4 2 2 2 2 4 2 2 2 4 2 2 2 2 4 2 2 2 2 2 2 2 2 4 2 2 2 2 2 4 2 4
d1c6s__ 4 2 4 2 4 2 2 2 2 2 2 2 2 4 4 2 4 2 2 2 2 2 4 2 2 2 4 2 4 2 2 2 2 4 4 2 2 4 2 2 2 4 2 2 4 2 4 4 2 2 2 2 2 2
d1c52__ 4 2 2 2 4 2 4 2 4 4 4 2 2 4 2 2 2 2 4 2 2 2 4 2 2 2 4 2 2 4 4 4 2 4 4 2 4 2 2 2 2 2 2 4 4 4 2 2 2 2 2 2 4 2
d1cnoa_ 2 2 2 2 2 2 2 2 2 2 2 4 2 4 4 2 2 2 2 2 4 2 4 2 2 2 2 4 2 2 2 4 2 2 2 2 4 2 2 4 2 2 2 4 2 4 2 4 2 2 2 4 2 4
d1ql3a_ 4 2 2 2 4 2 2 2 2 2 2 2 2 4 4 2 2 2 2 2 2 2 4 2 4 2 2 4 2 2 2 4 2 2 4 2 2 4 2 2 2 2 2 2 2 2 2 2 4 4 2 4 2 4
d1ayg__ 4 2 4 2 2 4 2 2 2 2 2 2 2 4 2 2 4 2 2 2 2 2 4 2 2 2 4 2 4 2 2 4 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 4 2
d1a56__ 2 4 2 2 2 2 4 2 2 2 2 2 2 4 4 2 2 2 2 2 2 2 4 2 2 2 4 2 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 4 4 2 4 4 4 2 2 2 4
d1ycc__ 4 2 2 4 2 2 2 2 2 2 2 2 2 4 4 2 2 2 2 2 4 2 4 2 2 2 4 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 2 4 2 2 4 4 2 2 4 2 2
d3c2c__ 2 2 2 2 2 2 4 2 2 2 2 2 2 4 2 2 2 2 4 2 2 4 4 2 4 2 2 4 2 2 2 4 2 2 2 2 2 2 2 2 4 2 4 2 2 2 2 2 2 4 2 2 2 2
d1cxc__ 2 2 2 2 4 4 4 2 2 2 4 2 2 4 2 4 2 2 4 2 4 2 2 2 2 2 2 4 2 2 2 4 2 2 2 2 2 2 2 4 4 2 2 4 4 2 4 2 2 4 2 2 2 4
d1co6a_ 2 2 2 2 2 4 4 2 2 4 4 2 2 4 2 2 2 2 2 2 2 2 2 4 2 2 2 4 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
d1hroa_ 2 2 2 2 4 4 2 2 4 2 2 2 2 2 2 2 4 4 2 2 2 2 2 2 2 2 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 2 2 2 4 2 4
d1cot__ 2 2 2 4 4 2 4 4 2 2 4 2 2 4 2 2 2 2 4 2 2 2 4 2 2 2 4 4 2 2 4 4 2 4 4 2 2 2 2 2 2 2 4 4 4 2 2 2 4 4 2 2 2 2
d1cc5__ 2 4 2 2 2 4 2 2 4 2 2 2 4 4 4 2 2 2 2 2 2 2 4 2 2 2 4 4 2 2 2 2 2 2 2 2 2 2 2 2 4 2 2 2 4 2 2 2 4 4 2 4 4 2
d451c__ 4 2 2 4 2 2 4 2 4 2 2 2 2 4 4 2 4 4 2 2 2 2 4 2 2 2 2 4 2 2 2 4 2 2 4 4 2 4 2 4 4 4 2 4 4 2 4 4 4 2 2 4 4 2
d2mtac_ 4 4 2 2 2 4 2 2 2 4 2 2 2 4 2 2 4 2 2 4 2 2 2 2 4 2 2 4 2 2 2 2 2 2 2 2 2 2 4 4 2 2 2 4 4 2 2 4 2 4 2 2 4 2
d1gks__ 2 4 2 2 2 4 2 2 2 2 2 2 4 2 4 4 2 4 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 4 2 2 2 2 2 2 4 2 2 2 2 2 4 4 4 2 2 2 4
d1dw0a_ 2 2 4 4 4 2 2 2 2 2 2 2 2 4 2 2 2 4 2 2 2 2 2 2 2 2 2 4 4 2 4 4 2 4 4 2 2 4 2 2 2 4 2 2 4 2 2 4 4 2 2 2 4 4
d1diqc_ 2 2 2 4 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 4 2 2 2 2 4 4 2 2 2 2 2 2 4 2 2 2 2 2 4 4 2 4 4 2 2 4 2 4 2 2 4 4
d1qksa1 4 4 2 4 2 4 2 2 4 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 4 4 2 2 2 2 4 2 4 2 4
d1etpa1 2 2 4 2 4 4 2 4 2 2 2 2 2 4 2 2 2 2 4 2 2 2 4 4 2 2 2 4 4 2 2 2 2 2 2 2 4 2 2 4 2 2 2 2 2 4 2 4 2 4 2 2 2 4
d1etpa2 2 2 2 2 4 4 2 2 2 4 2 2 2 4 2 4 2 2 2 2 4 2 4 2 2 2 2 4 2 2 2 2 2 2 2 4 4 4 2 2 2 2 2 2 4 4 2 4 4 2 2 2 4 4
d1fcdc1 2 2 2 2 2 2 2 2 4 4 2 4 2 4 2 2 2 2 4 2 2 2 4 4 2 2 2 4 2 2 2 4 2 2 2 2 2 2 2 2 4 2 2 4 4 2 2 4 2 4 2 2 4 4
d1fcdc2 2 4 4 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 4 2 2 2 2 4 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 4 2 2 4 2 2 2 2 2 4
d1enh__ 4 4 4 4 2 2 2 2 3 2 1 2 1 4 2 2 2 2 2 2 2 2 2 2 4 4 4 4 2 4 2 4 2 2 2 4 2 2 2 2 2 2 2 2 2 4 2 4 2 4 4 4 4 4
d1hddc_ 2 4 2 2 2 4 2 4 3 4 1 2 1 4 2 4 4 4 4 2 4 4 4 2 2 2 2 4 2 4 2 4 2 2 4 2 2 2 2 2 2 2 4 2 2 2 2 4 2 4 4 4 4 4
d2hdda_ 2 4 2 2 2 2 2 2 3 4 1 2 1 4 2 4 2 2 4 2 4 2 4 2 2 4 4 4 4 4 2 2 4 4 4 2 2 2 2 4 2 4 2 2 2 2 4 4 2 4 2 2 2 4
d2hddb_ 2 4 2 4 4 4 4 4 3 4 1 4 1 2 2 4 2 2 2 2 2 2 4 2 2 2 4 2 2 4 4 2 2 2 2 2 2 2 2 2 2 4 4 2 4 2 2 4 2 4 2 4 2 4
d3hdda_ 2 4 2 2 4 4 4 2 3 2 1 2 1 4 2 4 2 2 2 2 2 2 4 2 2 2 2 4 2 2 2 4 2 2 4 4 2 2 4 2 4 2 2 2 2 2 2 4 4 2 4 2 2 4
d3hddb_ 4 2 2 2 2 2 2 2 3 4 1 2 1 4 4 4 4 2 2 2 4 2 2 4 2 2 4 4 2 2 2 4 2 2 4 4 4 4 2 2 2 2 2 2 4 2 2 4 4 4 2 2 2 4
d1akha_ 4 4 4 4 2 4 4 2 3 4 1 2 1 4 2 2 2 2 2 2 4 2 2 4 4 2 2 4 2 2 2 4 2 4 2 2 2 4 2 2 2 4 4 2 4 4 2 4 4 2 2 2 4 4
d1yrna_ 4 4 2 4 2 4 4 2 3 4 1 2 1 4 4 2 4 2 2 2 2 2 4 4 2 2 4 4 4 4 2 4 2 2 2 2 4 2 4 2 2 2 4 2 4 2 2 4 2 4 4 4 4 4
d1mnmc_ 4 4 4 2 4 4 4 4 3 4 1 4 1 4 4 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 4 4 2 2 4 2 4 2 2 2 4 2 2 2 4 2 4 2 4 4 2 2 2 2
d1lfb__ 4 4 4 4 4 4 4 2 3 2 1 2 1 4 2 4 4 4 2 2 4 2 4 2 2 2 2 4 2 2 4 4 2 2 4 4 2 2 2 2 2 4 4 2 4 2 4 4 4 4 2 2 2 4
d1octc1 2 2 2 4 2 4 2 4 3 4 1 2 1 4 4 2 2 2 4 2 2 2 4 4 4 2 4 4 2 2 2 4 2 2 2 2 4 2 2 4 4 2 4 2 4 4 2 4 2 2 2 4 4 4
d1au7a1 2 4 2 4 4 4 4 2 3 2 1 2 1 4 4 2 4 2 2 2 2 2 4 4 2 2 2 4 2 4 4 4 2 2 4 2 4 4 2 2 4 2 2 2 4 2 2 2 2 2 4 4 4 4
d1ftt__ 4 2 4 4 2 2 4 4 3 2 1 2 1 4 2 4 4 2 4 2 2 4 2 4 2 2 2 2 2 2 2 4 2 2 4 4 2 4 2 4 4 2 2 4 4 4 4 4 2 4 4 2 2 2
d1hdp__ 2 2 2 2 2 2 4 4 3 4 1 2 1 4 2 2 4 2 4 2 4 2 4 2 2 2 4 4 2 4 2 2 2 4 2 2 2 4 2 2 4 2 2 2 2 4 4 2 4 2 2 2 2 4
d1ocp__ 4 4 2 2 2 2 2 2 3 4 1 2 1 4 2 4 2 2 2 2 4 2 4 2 4 2 4 4 2 2 2 4 2 2 4 2 2 2 2 4 4 2 2 2 2 2 2 2 4 2 2 2 2 4
d1b72a_ 2 2 4 2 2 2 4 2 3 2 1 4 1 4 2 4 4 4 2 4 4 2 2 4 2 4 4 4 2 4 4 4 2 2 4 2 4 2 2 4 2 2 2 4 4 2 2 4 2 4 2 2 2 4
d1b72b_ 4 2 4 2 2 2 2 2 3 4 1 2 1 4 2 4 2 2 4 4 4 2 4 4 2 2 2 4 2 4 2 4 4 2 2 2 2 4 2 2 4 2 2 4 2 2 2 4 4 4 4 4 4 4
d1bw5__ 4 4 2 2 4 2 4 4 3 2 1 4 1 4 2 4 4 4 2 4 2 2 4 2 4 4 4 4 4 2 2 4 2 4 4 4 2 2 2 2 2 2 4 4 4 2 2 2 2 4 2 2 4 2
d9anta_ 2 2 2 4 4 4 2 4 3 4 1 2 1 4 4 4 4 4 2 4 4 2 4 2 2 2 4 4 4 2 4 2 2 2 2 2 4 4 4 2 2 2 4 2 4 4 4 2 4 2 2 2 2 4
d1b8ia_ 2 2 4 2 4 2 4 2 3 2 1 2 1 4 2 2 2 2 2 2 4 2 4 2 2 2 4 4 2 2 2 4 2 2 4 2 4 4 4 2 2 2 2 4 2 2 2 4 2 2 2 2 2 4
d1ftz__ 2 2 2 4 2 4 2 2 3 4 1 2 1 4 2 4 4 2 2 2 2 2 4 2 4 2 4 4 2 2 2 2 2 4 4 2 4 2 2 4 2 2 4 2 4 4 2 4 2 2 2 4 2 4
d1nk3p_ 2 2 2 4 2 4 2 2 3 2 1 2 1 4 4 2 2 2 2 2 2 2 4 4 2 2 4 4 2 2 2 2 2 4 4 2 2 2 2 4 2 2 2 2 2 4 2 2 2 4 2 2 2 2
d1fjla_ 4 2 2 4 4 2 4 2 3 2 1 2 1 4 2 4 2 2 2 2 2 2 2 2 2 4 4 4 4 2 2 4 2 2 2 4 2 2 2 4 2 2 2 4 4 2 2 2 4 4 2 4 4 2
d1hcra_ 2 2 4 4 4 4 4 4 1 4 3 2 1 2 2 2 4 2 4 4 2 4 2 4 4 2 4 4 4 4 4 2 4 4 2 4 2 2 2 2 2 4 4 4 2 2 4 4 2 2 2 4 2 4
d1gdta1 4 4 4 2 2 2 4 2 1 4 3 4 1 4 2 4 4 2 4 2 2 2 4 2 4 2 2 4 2 2 4 4 2 2 2 2 2 2 2 2 2 2 2 4 4 4 2 4 4 2 2 2 2 4
d1gdtb1 2 2 4 4 4 4 2 2 1 4 3 4 1 4 2 2 2 2 4 2 2 2 4 4 2 2 4 4 2 4 2 2 4 2 2 2 2 4 2 4 2 2 2 4 4 2 2 4 4 4 4 2 4 4
d1res__ 4 2 2 4 2 2 4 4 1 2 3 2 1 4 2 4 2 2 2 2 4 2 4 2 4 2 2 4 2 2 2 4 2 2 2 2 2 4 2 2 2 2 2 2 4 2 2 2 2 4 4 2 4 2
d1ret__ 4 2 2 4 4 2 2 2 1 2 3 2 1 4 4 2 4 2 2 4 2 2 4 4 2 2 4 4 2 4 4 4 2 2 4 2 2 4 2 2 4 4 2 2 2 2 4 4 2 2 2 4 2 2
d1tc3c_ 4 4 4 4 4 4 2 2 1 4 3 2 1 2 2 4 2 4 2 2 4 2 4 4 2 2 4 4 2 4 2 4 2 4 2 4 2 2 4 2 2 2 4 4 2 2 2 4 4 4 4 2 4 4
d2ezl__ 4 2 4 2 4 4 4 4 1 4 3 4 1 4 4 4 4 2 2 2 2 2 2 2 2 2 4 4 2 2 2 4 2 2 4 2 2 2 2 2 2 2 2 4 2 4 2 4 4 2 2 2 4 2
d2ezi__ 2 4 4 2 2 2 4 4 1 2 3 2 1 4 4 4 4 2 2 2 2 2 4 2 2 2 4 4 4 2 4 4 4 2 4 4 2 4 2 2 2 4 2 2 2 2 4 2 2 2 4 2 4 4
d1idz__ 2 4 4 2 2 4 2 2 1 2 1 4 3 4 4 2 4 4 4 2 4 2 2 4 2 2 4 4 2 2 2 4 2 2 2 4 2 2 4 2 2 2 2 4 4 4 2 2 2 4 4 4 4 2
d1mbf__ 4 4 4 4 2 2 2 2 1 4 1 2 3 4 2 2 4 2 4 2 2 2 4 2 2 4 4 4 2 2 4 4 2 2 4 2 4 2 2 2 2 2 4 4 4 4 2 4 4 4 2 4 2 2
d1mbg__ 4 2 2 4 4 4 2 2 1 2 1 2 3 4 2 4 2 2 2 4 2 4 4 2 2 2 2 4 2 2 4 2 2 2 2 2 4 2 2 4 2 4 4 2 4 2 2 4 2 4 2 4 4 4
d1mbj__ 4 2 2 4 2 4 2 2 1 4 1 2 3 4 2 4 2 4 2 2 2 2 2 4 4 4 2 4 2 2 2 4 2 2 2 2 2 2 2 4 2 2 2 2 2 4 2 4 4 2 4 4 4 2
d1mbk__ 4 2 4 2 2 2 2 2 1 4 1 2 3 4 2 2 4 2 2 2 2 4 4 2 4 2 4 4 2 4 2 2 2 2 4 2 2 2 2 2 2 2 2 4 2 4 2 4 4 4 2 4 2 2
d1msec2 2 4 2 4 2 4 2 2 1 2 1 4 3 4 2 2 2 4 2 4 2 4 4 2 2 2 2 4 2 4 4 2 2 4 2 2 4 2 2 4 2 2 2 2 4 2 4 4 2 4 4 2 2 2
d1msfc2 4 2 2 2 2 2 2 2 1 2 1 4 3 4 2 4 2 4 2 4 2 2 2 2 2 2 4 4 2 2 2 2 2 4 2 4 4 2 2 2 2 2 2 4 2 2 2 4 4 4 2 2 4 4
d1a5j_1 2 4 2 2 2 2 2 2 1 4 1 2 3 4 2 4 2 2 2 2 2 4 2 2 4 2 2 4 2 2 2 4 2 4 2 4 2 2 2 2 4 2 2 2 2 4 2 4 2 4 4 4 2 2
d1a5j_2 2 2 4 2 2 4 4 2 1 2 1 4 3 4 4 2 2 2 4 2 2 2 2 4 2 4 4 4 2 4 2 2 2 2 2 2 2 4 2 4 2 4 2 2 4 2 2 4 4 2 4 4 2 4
d1ba5__ 2 2 4 2 2 4 2 2 1 2 1 4 1 4 2 4 2 4 2 2 2 2 4 4 2 2 2 4 4 2 2 2 2 2 2 2 2 4 2 2 2 2 4 4 4 2 2 4 4 4 2 2 4 4
d1pdnc_ 2 4 4 2 4 2 4 2 1 2 1 2 1 4 4 2 4 2 2 2 2 2 4 2 2 2 2 4 2 4 2 4 2 2 4 2 2 2 2 2 2 2 2 4 4 4 2 4 4 2 2 2 2 4
d1igna1 4 4 2 4 2 4 4 4 1 4 1 2 1 4 4 2 2 2 2 4 2 4 2 2 2 4 2 2 2 2 4 2 4 2 2 2 4 2 2 4 2 4 4 2 4 2 2 4 4 2 2 4 4 4
d1igna2 2 4 2 4 4 4 2 2 1 2 1 2 1 4 4 2 2 2 2 2 4 2 4 2 2 2 4 4 4 2 2 4 2 2 2 2 2 4 2 2 4 2 2 2 2 2 4 4 2 2 4 4 4 2
d1bw6a_ 2 4 2 4 4 2 4 4 1 4 1 4 1 4 4 4 4 2 4 2 2 2 4 2 2 4 2 4 2 2 4 4 2 2 4 2 2 4 2 4 4 4 2 4 4 4 2 4 4 4 2 4 4 4
d1bl0a1 2 2 2 4 2 2 2 2 1 4 1 4 1 4 2 4 4 2 2 2 4 2 4 4 2 2 4 4 2 2 4 4 2 2 2 4 2 2 2 2 2 2 2 2 4 4 2 4 4 4 2 4 2 4
d1bl0a2 2 4 4 4 4 2 2 2 1 2 1 2 1 4 4 4 4 2 2 2 4 4 4 2 4 2 2 4 2 4 4 2 2 2 4 4 4 2 2 2 4 2 4 4 4 2 4 4 2 2 4 2 2 2
d1d5ya1 4 2 2 4 4 4 4 2 1 4 1 4 1 4 4 4 2 2 2 2 2 2 4 2 2 2 4 4 2 2 4 4 2 4 2 2 4 2 4 2 2 2 2 2 4 2 4 4 4 2 4 2 4 4
